Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Value new (USD),Value used (USD),Launch date,Exit date
70110-1,Legends of Chima,Speedorz,2013,Tower Target,1,92,9.99,14.99,19.99,,5.70201E+12,6.73419E+11,25.5,23,3.6,0.21,12.27,5,1/9/2013,31/12/2013
611-2,Town,Special,1988,Air Canada Jet Plane,,92,,,,,,,,,,,,35,,
76044-1,DC Comics Super Heroes,DC Extended Universe,2016,Clash of the Heroes,2,92,11.99,12.99,15.99,14.99,5.70202E+12,6.73419E+11,15.6972,14.097,4.4958,0.1406135,20.18,10.06,1/1/2016,31/12/2017
70645-1,Ninjago,Dragon Masters,2018,Cole - Dragon Master,1,92,12.99,14.99,17.99,14.99,5.70202E+12,6.73419E+11,29.8,25.2,6.7,,13.25,7.25,1/6/2018,31/12/2018
70647-1,Ninjago,Dragon Masters,2018,Kai - Dragon Master,1,92,12.99,14.99,17.99,14.99,5.70202E+12,,29.8,25.2,6.7,,14.49,5.1,1/6/2018,31/12/2018
70113-1,Legends of Chima,Speedorz,2013,CHI Battles,2,92,14.99,19.99,24.99,,5.70201E+12,6.73419E+11,25.5,23,3.6,0.22,14.3,3.04,1/1/2013,31/05/2013
2009-1,Miscellaneous,Employee gift,2009,Heart,,92,,,,,,,,,,,,,,
7779-1,Batman,,2006,The Batman Dragster: Catwoman Pursuit,2,92,7.99,10,,,,6.73419E+11,24,14.4,6,0.18,113.9,50.29,1/4/2006,31/12/2006
8490-1,Racers,Power Racers,2008,Desert Hopper,,92,6.99,9.99,,,,6.73419E+11,24,14.4,6,0.22,19.95,3.79,,
6882-1,Space,Classic,1985,Walking Astro Grappler,1,92,,,,,,,,,,,184.9,34.04,,
5870-1,Belville,,1994,Pretty Playland,2,92,,42,,,,,,,,,98.6,26.92,,
40486-1,Icons,Promotional,2021,Mini Adidas Originals Superstar,1,92,,,,,5.70202E+12,6.73419E+11,14.1,12.2,4.6,,18.94,10.82,1/7/2021,31/12/2021
70644-1,Ninjago,Dragon Masters,2018,Golden Dragon Master,1,92,12.99,14.99,17.99,14.99,5.70202E+12,,29.8,25.2,6.7,,18.39,7.88,1/6/2018,31/12/2018
11911-1,City,Book Parts,2016,City: Build Your Own Adventure parts,1,92,,,,,,,,,,,12,,,
10722-1,Juniors,Ninjago,2016,Snake Showdown,2,92,12.99,14.99,17.99,14.99,,6.73419E+11,19.1008,14.097,6.096,0.1950446,16.2,9.78,1/1/2016,31/12/2017
7590-1,Toy Story,Original Film,2010,Woody and Buzz to the Rescue,2,92,14.99,19.99,26.99,,5.70201E+12,6.73419E+11,26.19,19.1,6.1,0.27,69.64,28.09,1/1/2010,31/12/2011
6671-1,Town,Maintenance,1989,Utility Repair Lift,1,92,,7.99,,,,,,,,,100.93,16.08,,
8370-1,Racers,Drome Racers,2003,Nitro Stunt Bike,,92,7.99,10,,,,6.73419E+11,24,14.4,7.2,,28.11,2.54,1/1/2003,31/12/2004
3741-1,Trains,9V,2001,Large Locomotive,,92,12.99,20,,,5.70201E+12,42884037413,19.2,19.2,4.8,,78.9,136.23,1/4/2001,31/12/2003
