Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Value new (USD),Value used (USD),Launch date,Exit date
ISBN9781409352624-1,Books,Dorling Kindersley,2015,LEGO NINJAGO: Secret World of the Ninja,1,6,,16.99,,,,,,,,,,,,
215-2,System,Supplemental,1958,2 x 8 Bricks,,6,,,,,,,6.35,8.89,2.54,,,10.42,,
71007-12,Collectable Minifigures,Series 12,2014,Rock Star,1,6,2.49,3.99,,,,,8.8,1,11.7,,4.8,3.94,1/10/2014,31/12/2014
71017-1,Collectable Minifigures,The LEGO Batman Movie,2017,Lobster-Lovin' Batman,1,6,2.99,3.99,,,5.70202E+12,6.73419E+11,11.9888,8.9916,0.2032,0.00907184,6.04,4.34,1/1/2017,30/04/2017
71017-9,Collectable Minifigures,The LEGO Batman Movie,2017,Dick Grayson,1,6,2.99,3.99,,,,,11.9888,8.9916,0.2032,0.00907184,3.44,2.49,1/1/2017,30/04/2017
10851-1,Duplo,,2017,My First Bus,,6,3.99,4.99,4.99,4.99,,6.73419E+11,15.6972,14.097,6.096,0.1315417,5.01,,1/1/2017,31/12/2018
71014-2,Collectable Minifigures,DFB Series,2016,Manuel Neuer,1,6,,,,,,,12,9,0.2,,18.06,13.68,1/5/2016,31/08/2016
71014-9,Collectable Minifigures,DFB Series,2016,Thomas Müller,1,6,,,,,,,12,9,0.2,,5.01,3.46,1/5/2016,31/08/2016
71014-11,Collectable Minifigures,DFB Series,2016,Sami Khedira,1,6,,,,,,,12,9,0.2,,5.03,3.83,1/5/2016,31/08/2016
1214-2,System,Supplemental,1955,Windows and Doors,,6,,,,,,,,,,,,,,
433-1,System,Supplemental,1966,6 Street Lamps with Curved Top (The Building Toy),,6,,,,,,,,,,,31.03,60.5,,
71011-12,Collectable Minifigures,Series 15,2016,Kendo Fighter,1,6,2.49,3.99,,,,6.73419E+11,11.9888,8.9916,0.2032,0.00908,2.86,2.4,1/1/2016,30/04/2016
1248-2,System,Supplemental,1955,Painted Trees and Bushes,,6,,,,,,,,,,,,,,
71013-8,Collectable Minifigures,Series 16,2016,Kickboxer,1,6,2.49,3.99,,,5.70202E+12,6.73419E+11,12,9,0.2,,4.29,3.44,1/9/2016,31/12/2016
71013-10,Collectable Minifigures,Series 16,2016,Penguin Boy,1,6,2.49,3.99,,,5.70202E+12,6.73419E+11,12,9,0.2,,7.47,4.93,1/9/2016,31/12/2016
71005-16,Collectable Minifigures,The Simpsons,2014,Mr. Burns,1,6,2.5,3.99,,,,,8.8,1,11.7,,14.98,14.24,1/5/2014,31/12/2014
71008-7,Collectable Minifigures,Series 13,2015,Alien Trooper,1,6,2.49,3.99,,,5.70202E+12,6.73419E+11,11.9888,8.9916,0.2032,0.01,4.26,3.5,1/1/2015,30/04/2015
71000-16,Collectable Minifigures,Series 9,2013,Plumber,1,6,1.99,2.99,,,5.70201E+12,,8.8,1,11.7,,13.8,9.45,1/1/2013,30/04/2013
71000-14,Collectable Minifigures,Series 9,2013,Mr. Good and Evil,1,6,1.99,2.99,,,5.70201E+12,,8.8,1,11.7,,7.34,4.46,1/1/2013,30/04/2013
71000-12,Collectable Minifigures,Series 9,2013,Mermaid,1,6,1.99,2.99,,,5.70201E+12,,8.8,1,11.7,,11.21,6.41,1/1/2013,30/04/2013
71002-12,Collectable Minifigures,Series 11,2013,Saxophone Player,1,6,1.99,2.99,,,5.70201E+12,6.73419E+11,8.8,1,11.7,,18.69,12.36,1/9/2013,31/12/2013
DUCK-1,Promotional,LEGO brand stores,2007,Duck,,6,,,,,,,,,,,,,,
71004-5,Collectable Minifigures,The LEGO Movie,2014,Abraham Lincoln,1,6,2.5,2.99,,,,,8.8,1,11.7,,12.46,6.91,1/1/2014,31/12/2014
71024-4,Collectable Minifigures,Disney Series 2,2019,Dewey Duck,1,6,2.99,3.99,,3.99,5.70202E+12,6.73419E+11,,,,,8.03,6.38,,
891947-1,Ninjago,Magazine Gift,2019,Heavy Metal,1,6,,,,,,,,,,,3.13,1.37,,
71020-4,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,Professor Hugo Strange,1,6,,3.99,,,,,12,9,0.2,,7.28,4.29,1/1/2018,31/03/2018
40297-1,Promotional,LEGO House,2017,LEGO House 6 DUPLO Bricks,,6,,,,,5.70202E+12,,,,,,3.27,,,
71021-12,Collectable Minifigures,Series 18,2018,Cat Costume Girl,1,6,,3.99,,,,,12,9,0.2,,6.4,3.9,1/4/2018,31/07/2018
71023-8,Collectable Minifigures,The LEGO Movie 2,2019,Watermelon Dude,1,6,,3.99,,,5.70202E+12,6.73419E+11,,,,,4.34,3.03,,
1212-1,Service Packs,,1982,Rocket tops,,6,,,,,,,,,,,5.68,,,
71030-6,Collectable Minifigures,Looney Tunes,2021,Sylvester the Cat,1,6,,4.99,,3.99,5.70202E+12,6.73419E+11,9.5,15,0.7,,5.11,4.05,26/04/2021,31/08/2021
112110-1,Ninjago,Magazine Gift,2021,Cole vs. Lasha,2,6,,,,,,,,,,,4.11,,,
30333-1,Duplo,,2022,My First Elephant,,6,,,,,,,20,19.5,2.4,,2.51,,1/1/2022,31/12/2022
8805-10,Collectable Minifigures,Series 5,2011,Fitness Instructor,1,6,1.99,2.99,3.49,,,,8.8,1,11.7,,3.77,2.77,1/9/2011,31/12/2011
8683-8,Collectable Minifigures,Series 1,2010,Demolition Dummy,1,6,1.99,1.99,,,,,8.8,1,11.7,,14.23,8.55,1/5/2010,31/12/2010
8804-10,Collectable Minifigures,Series 4,2011,Sailor,1,6,1.99,2.99,3.49,,,,8.8,1,11.7,,9.16,4.88,1/4/2011,31/08/2011
156-1,Trains,Supplemental / 4.5V,1968,2 Signals with Automatic Stop / Go Attachment,,6,,,,,,,,,,,45,38.84,,
5076-1,Service Packs,,1990,Plates 2 x 8 White,,6,,,,,,,,,,,4.83,,,
5066-1,Service Packs,Trains,1987,Buffer Sets and Couplings,,6,,,,,,,,,,,17.65,11.83,,
7924-1,Sports,Football,2004,"Football Player, Red",,6,,,,,,,,,,,5.84,3.5,,
4073-1,Studios,,2001,Tree 1,,6,,,,,,,,,,,5.4,,,
3718-1,Fabuland,,1986,Outdoor Cafe with Bonnie Bunny,1,6,,2.25,,,,,,,,,32.89,8.43,,
2952-1,Duplo,Dolls,2001,Marie,2,6,7.99,10,,,,,,,,,27.25,47.45,,
3155-1,Scala,Dolls,2000,Olivia in Smooth Dress,1,6,,9,,,,,,,,,24.49,,,
3380-1,Adventurers,Orient Expedition,2003,Johnny Thunder,1,6,,,,,,,,,,,36.74,,,
3601-1,Fabuland,,1981,Elton Elephant,1,6,,,,,,,,,,,235.28,9.08,,
10859-1,Duplo,,2018,My First Ladybird,,6,3.99,4.99,4.99,4.99,5.70202E+12,6.73419E+11,15.7,14.1,6.1,,4.1,3.99,1/1/2018,31/12/2018
471701-1,The LEGO Ninjago Movie,Magazine Gift,2017,Lloyd,1,6,,,,,,,,,,,4,3.26,,
71021-9,Collectable Minifigures,Series 18,2018,Spider Suit Boy,1,6,,3.99,,,,,12,9,0.2,,4.07,3.1,1/4/2018,31/07/2018
71021-10,Collectable Minifigures,Series 18,2018,Birthday Cake Guy,1,6,,3.99,,,,,12,9,0.2,,5.26,3.67,1/4/2018,31/07/2018
71023-10,Collectable Minifigures,The LEGO Movie 2,2019,Swamp Creature,1,6,,3.99,,,5.70202E+12,6.73419E+11,,,,,3.58,2.31,,
71023-5,Collectable Minifigures,The LEGO Movie 2,2019,Crayon Girl,1,6,,3.99,,,5.70202E+12,6.73419E+11,,,,,3.59,2.76,,
30327-1,Duplo,,2019,My First Duck,,6,,,,,5.70202E+12,6.73419E+11,20,19.5,1.4,,2.42,2.35,1/1/2019,31/12/2022
71022-21,Collectable Minifigures,Harry Potter,2018,Credence Barebone,1,6,,3.99,,,,,12,9,0.2,,4.76,3.94,1/8/2018,31/12/2018
71024-2,Collectable Minifigures,Disney Series 2,2019,Vintage Minnie,1,6,2.99,3.99,,3.99,5.70202E+12,6.73419E+11,,,,,4.19,3.15,,
71024-18,Collectable Minifigures,Disney Series 2,2019,Frozone,1,6,2.99,3.99,,3.99,5.70202E+12,6.73419E+11,,,,,3.11,2.37,,
891955-1,Ninjago,Magazine Gift,2019,Kai,1,6,,,,,,,,,,,2.38,3.67,,
71027-9,Collectable Minifigures,Series 20,2020,Super Warrior,1,6,,4.99,,,5.70202E+12,6.73419E+11,9.5,15,0.7,0.01,3.5,2.79,,
71027-10,Collectable Minifigures,Series 20,2020,Martial Arts Boy,1,6,,4.99,,,5.70202E+12,6.73419E+11,9.5,15,0.7,0.01,3.87,3.09,,
71028-10,Collectable Minifigures,Harry Potter Series 2,2020,Fred Weasley,1,6,,4.99,,,5.70202E+12,6.73419E+11,9.5,15,0.7,0.01,6.15,4.73,,
71029-2,Collectable Minifigures,Series 21,2021,Violin Kid,1,6,3.49,4.99,,3.99,5.70202E+12,6.73419E+11,9.5,15,0.7,,4.54,4.06,1/1/2021,30/04/2021
242106-1,Marvel Super Heroes,Magazine Gift,2021,Captain America,1,6,,,,,,,,,,,5.58,4.03,,
71033-9,Collectable Minifigures,The Muppets,2022,Waldorf,1,6,3.49,4.99,,3.99,,,,,,,4.83,4.38,,
71013-5,Collectable Minifigures,Series 16,2016,Spooky Boy,1,6,2.49,3.99,,,5.70202E+12,6.73419E+11,12,9,0.2,,4.14,3.6,1/9/2016,31/12/2016
71011-1,Collectable Minifigures,Series 15,2016,Farmer,1,6,2.49,3.99,,,,6.73419E+11,11.9888,8.9916,0.2032,0.00908,10.25,7.26,1/1/2016,30/04/2016
451-1,System,Supplemental,1966,"1 x 6 x 3 Window, Red or White",,6,,,,,,,,,,,,,,
271-2,System,Town Plan,1958,Traffic Police Set,,6,,,,,,,,,,,,184.16,,
230-2,System,Supplemental,1958,Six Trees and Bushes,,6,,,,,,,,,,,,46.2,,
40295-1,Promotional,LEGO House,2017,LEGO House Chef,1,6,,,,,5.70202E+12,,,,,,15.78,11,,
71018-11,Collectable Minifigures,Series 17,2017,Retro Spaceman,1,6,,3.99,,,,,11.9888,8.9916,0.2032,0.00907184,3.84,3.15,1/5/2017,31/07/2017
71019-2,Collectable Minifigures,The LEGO Ninjago Movie,2017,Spinjitzu Training Nya,1,6,,3.99,,,,,12,9,0.2,,4.49,2.86,1/8/2017,31/12/2017
ISBN9781338112122-1,Books,Scholastic,2017,The LEGO Batman Movie: Chaos in Gotham City,,6,6.99,8.99,,,,,,,,,,,,
ISBN9780241232347-1,Books,Dorling Kindersley,2016,LEGO NEXO KNIGHTS: The Book of Knights,1,6,,,,,,,,,,,,,,
71014-6,Collectable Minifigures,DFB Series,2016,Shkodran Mustafi,1,6,,,,,,,12,9,0.2,,5.06,4.27,1/5/2016,31/08/2016
71014-7,Collectable Minifigures,DFB Series,2016,Bastian Schweinsteiger,1,6,,,,,,,12,9,0.2,,5.06,4.07,1/5/2016,31/08/2016
71000-13,Collectable Minifigures,Series 9,2013,Battle Mech,1,6,1.99,2.99,,,5.70201E+12,,8.8,1,11.7,,7.44,3.66,1/1/2013,30/04/2013
71004-16,Collectable Minifigures,The LEGO Movie,2014,Marsha Queen of the Mermaids,1,6,2.5,2.99,,,,,8.8,1,11.7,,12.96,8.04,1/1/2014,31/12/2014
71007-3,Collectable Minifigures,Series 12,2014,Fairytale Princess,1,6,2.49,3.99,,,,,8.8,1,11.7,,6.21,4.62,1/10/2014,31/12/2014
71005-1,Collectable Minifigures,The Simpsons,2014,Homer Simpson,1,6,2.5,3.99,,,5.70202E+12,6.73419E+11,8.8,1,11.7,,9.41,6.09,1/5/2014,31/12/2014
5002127-1,Teenage Mutant Ninja Turtles,Promotional,2014,Flashback Shredder,1,6,,,,,,6.73419E+11,,,,,7.56,4.67,,
71010-7,Collectable Minifigures,Series 14 - Monsters,2015,Spectre,1,6,2.49,3.99,,,,,12,9,0.2,,5.2,4.24,1/9/2015,31/12/2015
71010-8,Collectable Minifigures,Series 14 - Monsters,2015,Zombie Cheerleader,1,6,2.49,3.99,,,,,12,9,0.2,,5.31,4.87,1/9/2015,31/12/2015
2131-1,Basic,,1998,Hippo,,6,,,,,,,,,,,5.33,0.54,,
2096-1,Primo,,1997,Stack-a-Mouse,,6,,9,,,,,,,,,,7.03,,
2606-1,Duplo,,1997,Dump Truck,1,6,,8.75,,,,,,,,,,8.22,,
2625-1,Duplo,,1980,Car with Boat and Trailer,1,6,,,,,,,,,,,28.31,5.65,,
1640-1,Duplo,,1989,Tuttle the Turtle,,6,,,,,,,,,,,4.25,1,,
1657-1,Duplo,,1990,Duplo Building Set,,6,,,,,,,,,,,20,,,
3714-1,Fabuland,,1985,Workman and Barrow,1,6,,2.25,,,,,,,,,,9.61,,
3650-1,Explore,Being Me,2002,Stack 'n' Learn First Rollabout,1,6,4.99,5,,,,,,,,,,,,
3383-1,World City,Trains,2003,Chef,1,6,,,,,,,,,,,14.46,,,
5303-1,Service Packs,Trains,1992,Buffers and Magnetic Couplings,,6,,3,,,5.70201E+12,,,,,0.014,10.29,7.04,,
2000416-1,Serious Play,,2008,Duck,,6,,,,,5.70201E+12,,,,,,2.19,1.8,,
8831-3,Collectable Minifigures,Series 7,2012,Bunny Suit Guy,1,6,1.99,2.99,,,,,8.8,1,11.7,,36.23,14.07,1/5/2012,31/08/2012
8805-16,Collectable Minifigures,Series 5,2011,Snowboarder Guy,1,6,1.99,2.99,3.49,,,,8.8,1,11.7,,9.22,5.16,1/9/2011,31/12/2011
8684-4,Collectable Minifigures,Series 2,2010,Witch,1,6,1.99,1.99,2.99,,,,8.8,1,11.7,,9,5.82,1/9/2010,31/12/2010
0016-1,Castle,,1979,Castle Minifigures,3,6,,,,,,,,,,,,75.12,,
5463-1,Baby,,2005,Play Train,1,6,7.99,10,,,,,,,,,22,16.9,,
30218-1,Duplo,,2015,Snail,,6,,,,,5.70202E+12,,17,17,1.5,,3.66,,1/1/2015,31/12/2015
71007-4,Collectable Minifigures,Series 12,2014,Video Game Guy,1,6,2.49,3.99,,,,,8.8,1,11.7,,4.97,3.76,1/10/2014,31/12/2014
ELF-1,The Hobbit,The Desolation of Smaug,2013,Mirkwood Elf,1,6,,,,,,,,,,,38.35,24.39,,
2315-1,Duplo,,1985,Pre-School Basic Building Set,,6,,,,,,,,,,,,,,
71018-15,Collectable Minifigures,Series 17,2017,Elf Girl,1,6,,3.99,,,,,11.9888,8.9916,0.2032,0.00907184,6.32,5.33,1/5/2017,31/07/2017
71019-17,Collectable Minifigures,The LEGO Ninjago Movie,2017,Gong & Guitar Rocker,1,6,,3.99,,,,,12,9,0.2,,4.16,3.27,1/8/2017,31/12/2017
71019-18,Collectable Minifigures,The LEGO Ninjago Movie,2017,GPL Tech,1,6,,3.99,,,,,12,9,0.2,,4.29,2.33,1/8/2017,31/12/2017
71020-12,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,Killer Moth,1,6,,3.99,,,,,12,9,0.2,,3.72,2.72,1/1/2018,31/03/2018
71017-20,Collectable Minifigures,The LEGO Batman Movie,2017,Mime,1,6,2.99,3.99,,,,,11.9888,8.9916,0.2032,0.00907184,3.01,2.39,1/1/2017,30/04/2017
71013-9,Collectable Minifigures,Series 16,2016,Scallywag Pirate,1,6,2.49,3.99,,,5.70202E+12,6.73419E+11,12,9,0.2,,6.41,4.5,1/9/2016,31/12/2016
71013-16,Collectable Minifigures,Series 16,2016,Babysitter,2,6,2.49,3.99,3.99,2.99,5.70202E+12,6.73419E+11,12,9,0.2,,9.8,7.98,1/9/2016,31/12/2016
71014-3,Collectable Minifigures,DFB Series,2016,Jérôme Boateng,1,6,,,,,,,12,9,0.2,,11.21,7.84,1/5/2016,31/08/2016
71014-10,Collectable Minifigures,DFB Series,2016,Toni Kroos,1,6,,,,,,,12,9,0.2,,2.9,3.46,1/5/2016,31/08/2016
71023-4,Collectable Minifigures,The LEGO Movie 2,2019,Giraffe Guy,1,6,,3.99,,,5.70202E+12,6.73419E+11,,,,,6.93,5.39,,
911943-1,Star Wars,Magazine Gift,2019,Luke Skywalker,1,6,,,,,,,,,,,6.16,3.94,,
71021-13,Collectable Minifigures,Series 18,2018,Race Car Guy,1,6,,3.99,,,,,12,9,0.2,,6.98,4.66,1/4/2018,31/07/2018
891837-1,Ninjago,Magazine Gift,2018,Nya,1,6,,,,,,,,,,,3.85,3.48,,
71028-6,Collectable Minifigures,Harry Potter Series 2,2020,Griphook,1,6,,4.99,,,5.70202E+12,6.73419E+11,9.5,15,0.7,0.01,3.88,2.7,,
71027-13,Collectable Minifigures,Series 20,2020,Brick Costume Guy,1,6,,4.99,,,5.70202E+12,6.73419E+11,9.5,15,0.7,0.01,4.36,3.35,,
40432-1,Miscellaneous,,2019,Rebuild the World minifigure,,6,,,,,,,,,,,,,,
892285-1,Ninjago,Magazine Gift,2022,Benthomaar,1,6,,,,,,,,,,,4.01,5.1,,
71031-9,Collectable Minifigures,Marvel Studios,2021,Zombie Captain America,1,6,3.49,4.99,,3.99,,,9.5,15,0.7,,5.68,5.4,1/9/2021,31/12/2021
2081-1,Primo,,1997,Stack 'n' Learn Starter Set,,6,,4,,,,,,,,,15,,,
BAT8369-1,Racers,Outdoor RC,2004,Battery Pack,,6,,,,,,,,,,,15.99,,,
4454-1,Sports,Football,2002,Referee,1,6,,,,,,,,,,,19.64,10,,
4531-1,Trains,9V,1991,Manual Points with Track,,6,,27.99,,,5.70201E+12,,,,,,44.76,26.79,,
5803-1,Belville,Fairy-Tale,1999,Iris,1,6,,,,,,,,,,,28.06,10,,
7923-1,Sports,Football,2004,"Football Player, White",,6,,,,,,,,,,,4,1.5,,
8803-16,Collectable Minifigures,Series 3,2011,Baseball Player,1,6,1.99,2.99,2.99,,,,8.8,1,11.7,,15.01,5.77,1/1/2011,31/05/2011
8684-8,Collectable Minifigures,Series 2,2010,Life Guard,1,6,1.99,1.99,2.99,,,,8.8,1,11.7,,6.96,5.13,1/9/2010,31/12/2010
8684-15,Collectable Minifigures,Series 2,2010,Surfer,1,6,1.99,1.99,2.99,,,,8.8,1,11.7,,12.72,8.07,1/9/2010,31/12/2010
1767-1,Basic,,1995,Animals,,6,,,,,,,,,,,3.1,0.41,,
8683-7,Collectable Minifigures,Series 1,2010,Robot,1,6,1.99,1.99,,,,,8.8,1,11.7,,17.15,9.19,1/5/2010,31/12/2010
8833-4,Collectable Minifigures,Series 8,2012,Cowgirl,1,6,1.99,2.99,,,,,8.8,1,11.7,,8.54,4.79,1/9/2012,31/12/2012
8805-9,Collectable Minifigures,Series 5,2011,Small Clown,1,6,1.99,2.99,3.49,,,,8.8,1,11.7,,5.05,3.69,1/9/2011,31/12/2011
COMCON014-1,DC Comics Super Heroes,Promotional Exclusive Minifigure,2011,Batman,1,6,,,,,,,,,,,712.25,,,
COMCON017-1,DC Comics Super Heroes,Promotional Exclusive Minifigure,2011,Superman (NYCC 2011 exclusive),1,6,,,,,,,,,,,2099.99,,,
4979-1,Duplo,LEGO Ville,2007,Ambulance,1,6,12.99,14.99,,,5.70201E+12,,,,,,35.58,15.83,,
7276-1,Creator,Designer Set,2005,Mango,,6,,,,,,,,,,,3.15,,,
8827-7,Collectable Minifigures,Series 6,2012,Clockwork Robot,1,5,1.99,2.99,,,,,8.8,1,11.7,,14.9,8.82,1/1/2012,30/04/2012
431-2,Samsonite,Supplemental,1966,Garage Door and Esso Pumps,,5,,,,,,,,,,,,,,
30084-1,Ninjago,Promotional,2011,Jay,1,5,,,,,,,,,,,7.43,5,,
8569-1,Bionicle,Accessories,2002,Krana,,5,,2,,,,6.73419E+11,,,,,20,,,
063-2,PreSchool,,1978,Ducks,,5,,,,,,,,,,,,,,
5093-1,Service Packs,Duplo,1993,Duplo Battery Train with Polarity Switch,,5,,,,,,,,,,,,,,
5034-1,Service Packs,,1987,Light and Sound 1 x 2 Lighting Brick and 4 Colour Globes,,5,,,,,,,,,,,11.43,,,
3390-1,Sports,Basketball,2003,Street Basket,1,5,,,,,,,,,,,24.32,,,
2011-1,Primo,,1998,My Home Stack 'n' Learn Set,1,5,,,,,,,,,,,,14.73,,
10964-1,Duplo,,2022,Bath Time Fun: Floating Red Panda,,5,8.99,9.99,13.99,9.99,5.70202E+12,,19.1,14.1,7.1,,7.09,,1/1/2022,31/12/2023
30329-1,Duplo,,2020,My First Giraffe,,5,,4.99,,,5.70202E+12,6.73419E+11,20,19.5,1.6,,2.05,,1/1/2020,31/12/2020
SDCC2019-2,DC Comics Super Heroes,Promotional Exclusive Minifigure,2019,Zebra Batman,,5,,,,,,,,,,,,,,
911834-1,Star Wars,Magazine Gift,2018,Finn,1,5,,,,,,,,,,,3.43,3.34,,
71021-2,Collectable Minifigures,Series 18,2018,Brick Suit Guy,1,5,,3.99,,,,,12,9,0.2,,4.42,3.25,1/4/2018,31/07/2018
71013-2,Collectable Minifigures,Series 16,2016,Desert Warrior,1,5,2.49,3.99,,,5.70202E+12,6.73419E+11,12,9,0.2,,3.55,2.59,1/9/2016,31/12/2016
5004390-1,Nexo Knights,Promotional,2016,King's Guard,1,5,,,,,,6.73419E+11,,,,,3.15,2.91,,
062-1,Samsonite,Supplemental,1966,5 - 10X20 base plates - White,,5,,1,,,,,16.5,4.9,7.9,,,,,
271608-1,Nexo Knights,Magazine Gift,2016,Kid Clay,2,5,,,,,,,,,,,4.35,1.85,,
SDCC2016-2,DC Comics Super Heroes,Promotional Exclusive Minifigure,2016,Atom,1,5,,,,,,,,,,,,,,
71004-6,Collectable Minifigures,The LEGO Movie,2014,Mrs. Scratchen-Post,1,5,2.5,2.99,,,,,8.8,1,11.7,,8.31,7.93,1/1/2014,31/12/2014
71004-13,Collectable Minifigures,The LEGO Movie,2014,Where are my Pants? Guy,1,5,2.5,2.99,,,,,8.8,1,11.7,,5.91,3.79,1/1/2014,31/12/2014
71005-6,Collectable Minifigures,The Simpsons,2014,Grampa Simpson,1,5,2.5,3.99,,,,,8.8,1,11.7,,10.6,7.85,1/5/2014,31/12/2014
71005-10,Collectable Minifigures,The Simpsons,2014,Ralph Wiggum,1,5,2.5,3.99,,,,,8.8,1,11.7,,9.39,8.2,1/5/2014,31/12/2014
5002938-1,Star Wars,Rebels,2015,Stormtrooper Sergeant,1,5,,,,,,6.73419E+11,,,,,9.49,10,,
71009-15,Collectable Minifigures,The Simpsons Series 2,2015,Waylon Smithers,1,5,2.49,3.99,,,,,11.9888,8.9916,0.2032,0,3.76,3.37,1/5/2015,31/08/2015
71010-11,Collectable Minifigures,Series 14 - Monsters,2015,Skeleton Guy,1,5,2.49,3.99,,,,,12,9,0.2,,6.53,5.05,1/9/2015,31/12/2015
DRWU-1,Jurassic World,,2015,Dr. Wu,1,5,,,,,,,,,,,8.93,11.7,,
087-1,PreSchool,,1977,Taxi,1,5,,,,,,,,,,,,4,,
8683-10,Collectable Minifigures,Series 1,2010,Super Wrestler,1,5,1.99,1.99,,,,,8.8,1,11.7,,19.48,10.5,1/5/2010,31/12/2010
753-1,Trains,Supplemental / 12V,1969,Automatic Right Electric Switch,,5,,,,,,,,,,,73.18,39.99,,
8805-13,Collectable Minifigures,Series 5,2011,Boxer,1,5,1.99,2.99,3.49,,,,8.8,1,11.7,,5.88,3.19,1/9/2011,31/12/2011
5395-1,Service Packs,Belville,1996,Belville Hospital Accessories,,5,,,,,,,,,,,10.72,,,
5089-1,Service Packs,Duplo,1996,"Duplo Family, African American",6,5,,12,,,,,,,,,50.18,,,
3697-1,Explore,Together,2003,Fearless Fire Fighter,1,5,5.99,7,,,,,,,,,,3.42,,
4683-1,Duplo,LEGO Ville,2004,Pony and Cart,1,5,3.99,4.99,,,,,,,,,,9.97,,
1113-1,Service Packs,,1980,Motor Frame 6 x 16 Stud Plus Four Buffers,,5,,,,,,,,,,,8.56,,,
2660-1,Duplo,,1991,Zoo Nursery,,5,,5.25,,,,,,,,,13.5,5,,
2971-1,Duplo,,2001,Action Policebike,1,5,3.99,3,,,,,,,,,4.54,2.97,,
2046-1,Primo,,1999,Fishing Fun,,5,,15,,,,,,,,,,,,
71008-14,Collectable Minifigures,Series 13,2015,Hot Dog Man,1,5,2.49,3.99,,,5.70202E+12,6.73419E+11,11.9888,8.9916,0.2032,0.01,10.79,8.1,1/1/2015,30/04/2015
COMCON038-1,The Hobbit,Promotional,2014,Bard the Bowman,1,5,,,,,,,,,,,399.5,120,,
71002-8,Collectable Minifigures,Series 11,2013,Yeti,1,5,1.99,2.99,,,5.70201E+12,6.73419E+11,8.8,1,11.7,,11.12,6.64,1/9/2013,31/12/2013
71002-16,Collectable Minifigures,Series 11,2013,Lady Robot,1,5,1.99,2.99,,,5.70201E+12,6.73419E+11,8.8,1,11.7,,6.82,3.87,1/9/2013,31/12/2013
5001622-1,Promotional,LEGO brand stores,2013,LEGO Store Employee,1,5,,,,,,6.73419E+11,,,,,7.95,4.32,,
71004-2,Collectable Minifigures,The LEGO Movie,2014,President Business,1,5,2.5,2.99,,,,,8.8,1,11.7,,5.39,3.08,1/1/2014,31/12/2014
6031640-1,Legends of Chima,Promotional,2013,Chima Promotional Pack,,5,0,,,,,,,,,,,,,
71001-6,Collectable Minifigures,Series 10,2013,Skydiver,1,5,1.99,2.99,,,5.70201E+12,6.73419E+11,8.8,1,11.7,,3.29,2.07,1/5/2013,31/08/2013
1917-2,Duplo,,1983,Animal,,5,,,,,,,,,,,3.56,,,
71019-9,Collectable Minifigures,The LEGO Ninjago Movie,2017,Misako,1,5,,3.99,,,,,12,9,0.2,,3.95,2.45,1/8/2017,31/12/2017
71018-8,Collectable Minifigures,Series 17,2017,Roman Gladiator,1,5,,3.99,,,,,11.9888,8.9916,0.2032,0.00907184,3.97,3.33,1/5/2017,31/07/2017
1270-1,System,HO 1:87 Vehicles,1956,5 Cyclists / Motorcyclists,,5,,,,,,,,,,,,,,
242B-1,System,Supplemental,1961,"International Flags - Britain, France, Austria, Portugal, LEGO",,5,,,,,,,,,,,,,,
428-1,System,Supplemental,1966,5 Plates 4 x 8 (The Building Toy),,5,,,,,,,,,,,,,,
71012-9,Collectable Minifigures,Disney,2016,Daisy Duck,1,5,2.49,3.99,,,,6.73419E+11,12.0142,8.9916,0.2032,0.01362,7.71,5.37,1/5/2016,31/08/2016
71012-10,Collectable Minifigures,Disney,2016,Donald Duck,1,5,2.49,3.99,,,,6.73419E+11,12.0142,8.9916,0.2032,0.01362,12.41,8.7,1/5/2016,31/08/2016
ISBN9780744054583-1,Books,Dorling Kindersley,2022,"LEGO DC: Character Encyclopedia, New Edition",,5,,21.99,,,,,,,,,,,,
10967-1,Duplo,,2022,Police Motorcycle,1,5,8.99,9.99,13.99,9.99,5.70202E+12,,15.7,14.1,6.1,,7.46,,1/3/2022,31/12/2025
30623-1,DC Comics Super Heroes,DC Extended Universe,2019,SHAZAM!,1,5,,,,,5.70202E+12,6.73419E+11,,,,,9.1,,,
911832-1,Star Wars,Magazine Gift,2018,Imperial Shuttle Pilot,1,5,,,,,,,,,,,4.46,,,
71020-15,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,Apache Chief,1,5,,3.99,,,,,12,9,0.2,,4.86,3.14,1/1/2018,31/03/2018
3389-1,Sports,Gravity Games,2003,Skater Boy,1,5,,,,,,,,,,,24.32,15,,
3323-1,Town,Football,1998,German Footballer and Ball,1,5,,,,,,,,,,,13.21,,,
4693-1,Duplo,Ferrari,2004,Ferrari F1 Race Car,1,5,7.99,10,,,,,,,,,47.71,14.37,,
2673-1,Duplo,,1996,Motorcycle Patrol,1,5,,7,,,,,,,,,26.71,8.56,,
2608-1,Duplo,,1994,DUPLO Family,6,5,,,,,,,,,,,31.23,,,
7922-1,Sports,Gravity Games,2004,"Snowboarder, Orange Vest",,5,,,,,,,,,,,6,3,,
